sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,most_common_emotion,avg_confidence,category,category2
12,Which Hand,11,1,3,95.0-100.0%,95.0,100.0,97.5,happy,0.5676115236499093,magic show,
13,Focus Group,12,1,3,0.0-5.0%,0.0,5.0,2.5,neutral,0.6327978308711734,office,
13,Focus Group,12,1,3,5.0-10.0%,5.0,10.0,7.5,neutral,0.6417932185259733,office,
13,Focus Group,12,1,3,10.0-15.0%,10.0,15.0,12.5,neutral,0.678094881772995,office,
13,Focus Group,12,1,3,15.0-20.0%,15.0,20.0,17.5,neutral,0.6201226562261581,office,
13,Focus Group,12,1,3,20.0-25.0%,20.0,25.0,22.5,surprise,0.6603864568930405,office,
13,Focus Group,12,1,3,25.0-30.0%,25.0,30.0,27.5,fear,0.6386306683222452,office,
13,Focus Group,12,1,3,30.0-35.0%,30.0,35.0,32.5,neutral,0.6400660698612531,office,
13,Focus Group,12,1,3,35.0-40.0%,35.0,40.0,37.5,surprise,0.5207837576215918,office,
13,Focus Group,12,1,3,40.0-45.0%,40.0,45.0,42.5,surprise,0.6311200012763342,office,
13,Focus Group,12,1,3,45.0-50.0%,45.0,50.0,47.5,neutral,0.5868602015755393,office,
13,Focus Group,12,1,3,50.0-55.0%,50.0,55.0,52.5,neutral,0.6730285361409187,office,
13,Focus Group,12,1,3,55.0-60.0%,55.0,60.0,57.5,neutral,0.7060237058571407,office,
13,Focus Group,12,1,3,60.0-65.0%,60.0,65.0,62.5,surprise,0.6925362875828376,office,
13,Focus Group,12,1,3,65.0-70.0%,65.0,70.0,67.5,sad,0.83581383228302,office,
13,Focus Group,12,1,3,70.0-75.0%,70.0,75.0,72.5,sad,0.719359797736009,office,
13,Focus Group,12,1,3,75.0-80.0%,75.0,80.0,77.5,happy,0.8042235997590151,office,
13,Focus Group,12,1,3,80.0-85.0%,80.0,85.0,82.5,surprise,0.6851988099515438,office,
13,Focus Group,12,1,3,85.0-90.0%,85.0,90.0,87.5,surprise,0.7058417970935503,office,
13,Focus Group,12,1,3,90.0-95.0%,90.0,95.0,92.5,neutral,0.5474987966673714,office,
13,Focus Group,12,1,3,95.0-100.0%,95.0,100.0,97.5,happy,0.784463939567407,office,
14,Laser Spine Specialists,13,1,3,0.0-5.0%,0.0,5.0,2.5,sad,0.7264445900917054,commercial,
14,Laser Spine Specialists,13,1,3,5.0-10.0%,5.0,10.0,7.5,happy,0.8138908545176188,commercial,
14,Laser Spine Specialists,13,1,3,10.0-15.0%,10.0,15.0,12.5,happy,0.5867957323789597,commercial,
